"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
1,0.56,0.566666666666667,0.606666666666667,0.493333333333333,0.453333333333333,0.0263157894736842,0.0405405405405405,2.21978021978022,1.66101694915254,"1"
2,0.62,0.58,0.6,0.606666666666667,0.52,0.0677966101694915,0,2.28888888888889,1.56666666666667,"1"
3,0.593333333333333,0.673333333333333,0.626666666666667,0.473333333333333,0.466666666666667,0.0379746835443038,0.0704225352112676,2.12765957446809,1.78571428571429,"1"
4,0.553333333333333,0.686666666666667,0.633333333333333,0.533333333333333,0.466666666666667,0.0714285714285714,0.025,2,2,"1"
5,0.533333333333333,0.66,0.56,0.433333333333333,0.48,0.0705882352941176,0.0923076923076923,2.22619047619048,1.71212121212121,"1"
6,0.526666666666667,0.693333333333333,0.64,0.54,0.426666666666667,0.0579710144927536,0.0493827160493827,2.125,1.77777777777778,"1"
7,0.553333333333333,0.646666666666667,0.6,0.5,0.4,0.0266666666666667,0.0666666666666667,2.27777777777778,1.58333333333333,"1"
8,0.446666666666667,0.7,0.566666666666667,0.553333333333333,0.4,0.0597014925373134,0.072289156626506,2.11764705882353,1.84615384615385,"1"
9,0.566666666666667,0.62,0.606666666666667,0.513333333333333,0.426666666666667,0.0821917808219178,0.025974025974026,2.1978021978022,1.69491525423729,"1"
10,0.593333333333333,0.646666666666667,0.606666666666667,0.54,0.413333333333333,0.0144927536231884,0.0246913580246914,2.46153846153846,1.28813559322034,"1"
11,0.66,0.773333333333333,0.706666666666667,0.5,0.48,0.04,0.0533333333333333,1.94339622641509,2.13636363636364,"1"
12,0.68,0.78,0.746666666666667,0.52,0.44,0.0138888888888889,0.0128205128205128,2.11607142857143,1.65789473684211,"1"
13,0.7,0.866666666666667,0.813333333333333,0.473333333333333,0.426666666666667,0.0126582278481013,0,2.18032786885246,1.21428571428571,"1"
14,0.726666666666667,0.866666666666667,0.793333333333333,0.526666666666667,0.44,0.0422535211267606,0.0253164556962025,2.08403361344538,1.67741935483871,"1"
15,0.76,0.853333333333333,0.826666666666667,0.46,0.466666666666667,0,0.0144927536231884,2.04838709677419,1.76923076923077,"1"
16,0.833333333333333,0.846666666666667,0.846666666666667,0.48,0.453333333333333,0,0.0138888888888889,2.04724409448819,1.73913043478261,"1"
17,0.886666666666667,0.886666666666667,0.893333333333333,0.44,0.426666666666667,0,0.0151515151515152,2.05970149253731,1.5,"1"
18,0.88,0.9,0.86,0.46,0.4,0.0246913580246914,0.0144927536231884,1.98449612403101,2.0952380952381,"1"
19,0.893333333333333,0.84,0.873333333333333,0.56,0.386666666666667,0.0151515151515152,0.0119047619047619,2.0763358778626,1.47368421052632,"1"
20,0.926666666666667,0.853333333333333,0.9,0.513333333333333,0.386666666666667,0,0,2.12592592592593,0.866666666666667,"1"
21,0.9,0.906666666666667,0.893333333333333,0.406666666666667,0.4,0.0112359550561798,0.0163934426229508,1.92537313432836,2.625,"1"
22,0.853333333333333,0.92,0.913333333333333,0.52,0.32,0,0,2.05839416058394,1.38461538461538,"1"
23,0.873333333333333,0.953333333333333,0.94,0.486666666666667,0.413333333333333,0,0,2.12765957446809,0,"1"
24,0.98,0.96,0.98,0.513333333333333,0.333333333333333,0,0,2.00680272108844,1.66666666666667,"1"
25,0.98,0.893333333333333,0.92,0.54,0.373333333333333,0.0144927536231884,0,2.02898550724638,1.66666666666667,"1"
26,0.98,0.86,0.92,0.526666666666667,0.4,0.0140845070422535,0,1.94927536231884,2.58333333333333,"1"
27,0.96,0.826666666666667,0.9,0.526666666666667,0.413333333333333,0,0,2.08888888888889,1.2,"1"
28,0.953333333333333,0.82,0.86,0.493333333333333,0.373333333333333,0.0131578947368421,0.027027027027027,1.96899224806202,2.19047619047619,"1"
29,0.96,0.82,0.92,0.486666666666667,0.4,0,0,1.96376811594203,2.41666666666667,"1"
30,0.98,0.813333333333333,0.833333333333333,0.52,0.36,0.0138888888888889,0.0128205128205128,2.12,1.4,"1"
31,1,0.873333333333333,0.953333333333333,0.573333333333333,0.4,0.015625,0,1.98601398601399,2.28571428571429,"1"
32,1,0.88,0.94,0.52,0.373333333333333,0,0,2.08510638297872,0.666666666666667,"1"
33,1,0.906666666666667,0.96,0.546666666666667,0.373333333333333,0,0,2.04861111111111,0.833333333333333,"1"
34,1,0.92,0.946666666666667,0.446666666666667,0.346666666666667,0,0,2.07042253521127,0.75,"1"
35,1,0.993333333333333,1,0.586666666666667,0.333333333333333,0,0,2,NA,"1"
36,1,0.973333333333333,0.986666666666667,0.42,0.413333333333333,0,0,1.98648648648649,3,"1"
