"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
1,0.44,0.446666666666667,0.46,0.526666666666667,0.56,0.23943661971831,0.227848101265823,1.44927536231884,2.46913580246914,"1"
2,0.42,0.38,0.326666666666667,0.453333333333333,0.546666666666667,0.170731707317073,0.264705882352941,1.51020408163265,2.23762376237624,"1"
3,0.346666666666667,0.386666666666667,0.373333333333333,0.386666666666667,0.56,0.0760869565217391,0.327586206896552,1.66071428571429,2.20212765957447,"1"
4,0.306666666666667,0.44,0.36,0.453333333333333,0.56,0.207317073170732,0.308823529411765,1.51851851851852,2.27083333333333,"1"
5,0.28,0.36,0.28,0.493333333333333,0.533333333333333,0.223684210526316,0.27027027027027,1.57142857142857,2.16666666666667,"1"
6,0.266666666666667,0.353333333333333,0.28,0.506666666666667,0.56,0.189189189189189,0.210526315789474,1.5,2.19444444444444,"1"
7,0.226666666666667,0.373333333333333,0.306666666666667,0.526666666666667,0.56,0.295774647887324,0.227848101265823,1.52173913043478,2.21153846153846,"1"
8,0.193333333333333,0.353333333333333,0.273333333333333,0.52,0.52,0.277777777777778,0.179487179487179,1.21951219512195,2.29357798165138,"1"
9,0.1,0.286666666666667,0.193333333333333,0.52,0.506666666666667,0.236111111111111,0.256410256410256,1.68965517241379,2.07438016528926,"1"
10,0.106666666666667,0.22,0.173333333333333,0.466666666666667,0.493333333333333,0.2125,0.257142857142857,1.61538461538462,2.08064516129032,"1"
11,0.0733333333333333,0.233333333333333,0.16,0.533333333333333,0.533333333333333,0.314285714285714,0.25,1.5,2.0952380952381,"1"
12,0.0866666666666667,0.213333333333333,0.16,0.44,0.506666666666667,0.154761904761905,0.348484848484849,1.75,2.04761904761905,"1"
13,0.0533333333333333,0.22,0.133333333333333,0.5,0.493333333333333,0.266666666666667,0.266666666666667,1.25,2.11538461538462,"1"
14,0.04,0.186666666666667,0.14,0.466666666666667,0.44,0.25,0.342857142857143,1.04761904761905,2.15503875968992,"1"
15,0.02,0.126666666666667,0.0933333333333333,0.553333333333333,0.48,0.313432835820896,0.156626506024096,1.71428571428571,2.02941176470588,"1"
16,0,0.18,0.08,0.493333333333333,0.493333333333333,0.236842105263158,0.297297297297297,1.41666666666667,2.05072463768116,"1"
17,0,0.126666666666667,0.0666666666666667,0.513333333333333,0.44,0.287671232876712,0.25974025974026,1.5,2.03571428571429,"1"
18,0,0.126666666666667,0.0466666666666667,0.48,0.453333333333333,0.256410256410256,0.291666666666667,1.14285714285714,2.04195804195804,"1"
19,0,0.106666666666667,0.0866666666666667,0.526666666666667,0.48,0.338028169014085,0.215189873417722,1.46153846153846,2.05109489051095,"1"
20,0,0.0933333333333333,0.06,0.526666666666667,0.466666666666667,0.338028169014085,0.240506329113924,0.666666666666667,2.08510638297872,"1"
21,0,0.0733333333333333,0.0466666666666667,0.526666666666667,0.44,0.253521126760563,0.265822784810127,1.14285714285714,2.04195804195804,"1"
22,0,0.0466666666666667,0.0133333333333333,0.406666666666667,0.413333333333333,0.157303370786517,0.360655737704918,1.5,2.00675675675676,"1"
23,0,0.08,0.0266666666666667,0.453333333333333,0.44,0.231707317073171,0.382352941176471,2.5,1.98630136986301,"1"
24,0,0.0866666666666667,0.0333333333333333,0.48,0.426666666666667,0.307692307692308,0.347222222222222,0.6,2.04827586206897,"1"
25,0,0.06,0.0266666666666667,0.546666666666667,0.44,0.338235294117647,0.219512195121951,1.5,2.01369863013699,"1"
26,0,0.0666666666666667,0.0266666666666667,0.573333333333333,0.426666666666667,0.359375,0.244186046511628,0.5,2.04109589041096,"1"
27,0,0.04,0.02,0.52,0.4,0.375,0.256410256410256,1.33333333333333,2.01360544217687,"1"
28,0,0.04,0.0333333333333333,0.52,0.44,0.305555555555556,0.243589743589744,2,2,"1"
29,0,0.0466666666666667,0.02,0.513333333333333,0.426666666666667,0.273972602739726,0.337662337662338,3,1.97959183673469,"1"
30,0,0.0466666666666667,0.0333333333333333,0.453333333333333,0.466666666666667,0.182926829268293,0.352941176470588,1.8,2.00689655172414,"1"
31,0,0.0466666666666667,0.0333333333333333,0.46,0.52,0.172839506172839,0.289855072463768,1.8,2.00689655172414,"1"
32,0,0.0266666666666667,0.0133333333333333,0.52,0.44,0.319444444444444,0.243589743589744,3,1.98648648648649,"1"
33,0,0.02,0.0133333333333333,0.54,0.44,0.246376811594203,0.234567901234568,1.5,2.00675675675676,"1"
34,0,0.0333333333333333,0.02,0.526666666666667,0.506666666666667,0.28169014084507,0.215189873417722,2.33333333333333,1.99319727891156,"1"
35,0,0.04,0.0133333333333333,0.5,0.453333333333333,0.266666666666667,0.253333333333333,1.5,2.00675675675676,"1"
